reward_function,student_type,agent_type,run,final_state,avg_state,accuracy,engagement,questions_answered,avg_total_reward
correctness,STEADY,pomdp,23,2.625,2.55343331098761,0.774060096942228,0.710565920781865,218.8025,0.774060096942228
correctness,STEADY,pomdp,24,2.52,2.4582726095052583,0.7715176194527993,0.6972749089532368,212.8875,0.7715176194527993
correctness,STEADY,pomdp,25,2.5275,2.4293401673269157,0.7679426916253633,0.7127737197193315,217.555,0.7679426916253633
correctness,STEADY,pomdp,26,2.5675,2.4820482431815805,0.7748376033958718,0.6907528890222596,211.0975,0.7748376033958718
correctness,STEADY,pomdp,27,2.4325,2.379429703070567,0.7770219894903465,0.7079242453852279,223.3575,0.7770219894903465
correctness,STEADY,pomdp,28,2.5925,2.523532530132057,0.7836487016057512,0.7250493163458472,222.03,0.7836487016057512
correctness,STEADY,pomdp,29,2.5125,2.446416341528276,0.7783037371358276,0.6953637228965224,215.41,0.7783037371358276
correctness,STEADY,pomdp,30,2.4275,2.3600022706761568,0.7890728434626216,0.7013494842888719,219.3425,0.7890728434626216
correctness,STEADY,pomdp,31,2.5175,2.4048149209649905,0.7743609019303446,0.713556416065824,212.9875,0.7743609019303446
correctness,STEADY,pomdp,32,2.555,2.4411858044241903,0.7810039987230418,0.7124914505207742,211.0775,0.7810039987230418
correctness,STEADY,pomdp,33,2.625,2.5598880026765642,0.7802659163789742,0.730410624378332,229.9425,0.7802659163789742
correctness,STEADY,pomdp,34,2.4775,2.3971690309298967,0.7821768845979733,0.7028843227259136,216.3125,0.7821768845979733
correctness,STEADY,pomdp,35,2.5525,2.4755050272007493,0.7790081949794978,0.710354897797742,213.595,0.7790081949794978
correctness,STEADY,pomdp,36,2.66,2.5781100466480393,0.7725083216612663,0.7305351489854162,220.2875,0.7725083216612663
correctness,STEADY,pomdp,37,2.5975,2.519294078177336,0.7642482711866256,0.7017701193546318,205.045,0.7642482711866256
correctness,STEADY,pomdp,38,2.5475,2.4797216042452237,0.7669518888559327,0.7102065616712336,214.96,0.7669518888559327
correctness,STEADY,pomdp,39,2.4275,2.3384264650136486,0.769768866897288,0.68194330574923,203.39,0.769768866897288
correctness,STEADY,pomdp,40,2.505,2.442069362644004,0.7780367737963598,0.706553026507454,217.3175,0.7780367737963598
correctness,STEADY,pomdp,41,2.5675,2.4838454297120696,0.7780534429309458,0.6859504958020437,212.0825,0.7780534429309458
correctness,STEADY,pomdp,42,2.5575,2.4792354389037627,0.7751951676263351,0.7196111861683631,219.9925,0.7751951676263351
correctness,STEADY,pomdp,43,2.4975,2.383244784748349,0.7695335636120894,0.7066804234123768,211.925,0.7695335636120894
correctness,STEADY,pomdp,44,2.47,2.4039879215791022,0.7799578965714099,0.7086550511714776,216.685,0.7799578965714099
correctness,STEADY,pomdp,45,2.4825,2.4014671865872703,0.776434208094331,0.7030014995406397,215.89,0.776434208094331
correctness,STEADY,pomdp,46,2.6175,2.506108667815186,0.783061445117736,0.7035001311532679,217.4525,0.783061445117736
correctness,STEADY,pomdp,47,2.545,2.470735844665457,0.7865502946503039,0.7028879689578028,223.3675,0.7865502946503039
correctness,STEADY,pomdp,48,2.4525,2.3666387168013627,0.7669254650091074,0.7085980885184588,210.505,0.7669254650091074
correctness,STEADY,pomdp,49,2.565,2.489645166572483,0.7664070108217687,0.7088616901036687,212.0375,0.7664070108217687
correctness,STEADY,pomdp,50,2.5475,2.481087251543693,0.7779845199562232,0.6980344810891685,217.8575,0.7779845199562232
correctness,FORGETFUL,bandit,1,1.795,1.8482431747058405,0.28504950256989486,0.36569554407390115,26.485,0.28504950256989486
correctness,FORGETFUL,bandit,2,1.7425,1.8280654521043365,0.2609529389823921,0.3567060426210506,24.8875,0.2609529389823921
correctness,FORGETFUL,bandit,3,1.71,1.7975788033977904,0.27063904891879753,0.37317819730438073,25.8825,0.27063904891879753
correctness,FORGETFUL,bandit,4,1.7225,1.7722804160866135,0.2824333545959396,0.3870054795614848,22.305,0.2824333545959396
correctness,FORGETFUL,bandit,5,1.74,1.7947139077928314,0.28050886500352185,0.3771017413303604,23.8625,0.28050886500352185
correctness,FORGETFUL,bandit,6,1.885,1.9610727167581206,0.2548941029940218,0.3396811083872106,25.1775,0.2548941029940218
correctness,FORGETFUL,bandit,7,1.7775,1.8005785967845116,0.29173842466513605,0.3774411491542105,29.175,0.29173842466513605
correctness,FORGETFUL,bandit,8,1.7475,1.806698418457044,0.2794661193204794,0.3735493309896205,25.1825,0.2794661193204794
correctness,FORGETFUL,bandit,9,1.7225,1.7350655564582411,0.284398596207399,0.38706363484164996,29.065,0.284398596207399
correctness,FORGETFUL,bandit,10,1.7825,1.7780545723257029,0.28236693663288287,0.36425254041537924,28.345,0.28236693663288287
correctness,FORGETFUL,bandit,11,1.6525,1.7372053483794911,0.2911463627446225,0.37425737953196225,28.42,0.2911463627446225
correctness,FORGETFUL,bandit,12,1.6475,1.6555576140322388,0.3060701603247537,0.40775479862300174,28.4075,0.3060701603247537
correctness,FORGETFUL,bandit,13,1.6875,1.7606942821379779,0.2813386950587431,0.37258970332553104,24.57,0.2813386950587431
correctness,FORGETFUL,bandit,14,1.7,1.748173539994183,0.28261757092777595,0.37812953328182347,27.4825,0.28261757092777595
correctness,FORGETFUL,bandit,15,1.7475,1.8045006587125239,0.2749664763444364,0.380323462396,24.475,0.2749664763444364
correctness,FORGETFUL,bandit,16,1.82,1.8505733829218565,0.2673896737414933,0.36455511700771237,26.075,0.2673896737414933
correctness,FORGETFUL,bandit,17,1.7,1.78380859023135,0.2681487141537618,0.38464161886295606,24.1725,0.2681487141537618
correctness,FORGETFUL,bandit,18,1.75,1.80639292681077,0.26408469422822756,0.37913940106031857,25.165,0.26408469422822756
correctness,FORGETFUL,bandit,19,1.8425,1.920131154838606,0.2627772102833237,0.34450953573855303,23.91,0.2627772102833237
correctness,FORGETFUL,bandit,20,1.7575,1.827089494215312,0.25811580292452624,0.367032300867849,21.8325,0.25811580292452624
correctness,FORGETFUL,bandit,21,1.765,1.808103545450246,0.28284269284332714,0.37123834350902746,26.7,0.28284269284332714
correctness,FORGETFUL,bandit,22,1.8125,1.8598686203312655,0.2803930209680869,0.36688966863584227,28.2225,0.2803930209680869
correctness,FORGETFUL,bandit,23,1.7525,1.7831784739336458,0.29073168309820896,0.3780592468260776,28.0375,0.29073168309820896
correctness,FORGETFUL,bandit,24,1.805,1.8484870327061855,0.2664088993571883,0.3525223121921165,24.6325,0.2664088993571883
correctness,FORGETFUL,bandit,25,1.695,1.7741753681547139,0.26522105056520767,0.37513517561005316,23.67,0.26522105056520767
correctness,FORGETFUL,bandit,26,1.7875,1.8733533015069597,0.27700967597855525,0.35191421144572343,24.045,0.27700967597855525
correctness,FORGETFUL,bandit,27,1.7325,1.7551019931456318,0.2856863925681063,0.3778869262552222,23.6425,0.2856863925681063
correctness,FORGETFUL,bandit,28,1.7125,1.7777387229736896,0.2732480569623806,0.3798604263912219,24.8325,0.2732480569623806
correctness,FORGETFUL,bandit,29,1.65,1.762490479956965,0.2774579247249853,0.3867428424079815,25.925,0.2774579247249853
correctness,FORGETFUL,bandit,30,1.735,1.767933765286498,0.2773188031311649,0.380620538600277,25.3825,0.2773188031311649
correctness,FORGETFUL,bandit,31,1.735,1.7693625545974725,0.2819376877740838,0.3787212012459447,30.145,0.2819376877740838
