lambda,agent_type,run,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
0.2,bandit,10,1.965,1.9390040816409322,0.358456507150808,0.460326788814298,62.4975,0.43995273248160005
0.2,bandit,11,1.985,1.9701974026876419,0.35888912602598366,0.46602752244315815,59.51,0.4445998431597233
0.2,bandit,12,1.955,1.8971548285518152,0.3495261583304404,0.44621026639664974,58.2175,0.4268734447834079
0.2,bandit,13,1.95,1.9004248190719553,0.3674813751694468,0.47807637600950526,66.69,0.4559573758414936
0.2,bandit,14,1.935,1.9215482205925871,0.3771012271752355,0.4858805414046715,69.36,0.46412467855878425
0.2,bandit,15,1.925,1.8700394590488838,0.37182034335168124,0.507326874212414,66.015,0.48022556804026734
0.2,bandit,16,1.96,1.9390442443387446,0.34225904804357293,0.45912733606269723,59.5025,0.43575367845887236
0.2,bandit,17,1.9575,1.8431864339648198,0.38075917274562016,0.50811338915195,70.2475,0.48264254587068406
0.2,bandit,18,1.945,1.8844226033215572,0.36701373914505175,0.45911830442779744,57.105,0.44069739137124836
0.2,bandit,19,2.06,2.005463356932269,0.36966094471828626,0.4680727226659589,64.595,0.4483903670764244
0.2,bandit,20,2.09,2.0458233084601254,0.32962082791284786,0.43706621225687997,58.5325,0.4155771353880735
0.2,bandit,21,1.8675,1.8398277972533679,0.36367116521591525,0.4595771024088262,60.1075,0.44039591497024405
0.2,bandit,22,1.87,1.83859623152786,0.3808530207718971,0.48765624752731074,62.97,0.466295602176228
0.2,bandit,23,1.8525,1.867108343552552,0.36494743228746046,0.481861533214977,60.74,0.4584787130294737
0.2,bandit,24,1.9325,1.9546390103510132,0.33468380966373024,0.4492885209227627,59.76,0.42636757867095626
0.2,bandit,25,1.9875,1.9783731777048639,0.35129019378568527,0.444885076576843,64.36,0.4261661000186115
0.2,bandit,26,1.92,1.883837312294221,0.36663374772311047,0.47792819444055235,58.4175,0.45566930509706394
0.2,bandit,27,2.015,1.9666320722249713,0.3357231157855894,0.45355596989821806,57.135,0.4299893990756924
0.2,bandit,28,1.945,1.950052877214901,0.343094914225549,0.4471913533253391,55.93,0.42637206550538104
0.2,bandit,29,1.8925,1.8849710855177306,0.3517778729298572,0.47273691359096026,65.565,0.4485451054587397
0.2,bandit,30,1.9975,1.9187817567106997,0.3650500570164329,0.46366320930065996,60.87,0.44394057884381455
0.2,bandit,31,1.9525,2.0026670181352735,0.34146165094592107,0.4475110607493832,60.4675,0.4263011787886908
0.2,bandit,32,2.015,2.0196018164614475,0.3472737408248079,0.43016342076886604,60.395,0.4135854847800543
0.2,bandit,33,1.95,1.9341151180367298,0.359907438087899,0.4499199142348019,65.745,0.43191741900542124
0.2,bandit,34,1.965,1.9252333304614841,0.3575280680088109,0.4691679326764921,57.4175,0.4468399597429558
0.2,bandit,35,2.0275,1.9868485960783488,0.34772640264383364,0.4654060858121478,63.66,0.441870149178485
0.2,bandit,36,1.965,1.8941662657568445,0.3569717296693566,0.46905653492782456,65.5275,0.44663957387613096
0.2,bandit,37,2.1,2.049494415017582,0.37550117107764835,0.46172077143810425,57.5075,0.44447685136601306
