agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered
bandit,knowledge_gain,3,2.0725,2.0416583280280496,0.329230430212926,0.40828766604103917,13.0675
bandit,knowledge_gain,4,2.03,1.9880488577531048,0.3395906580756167,0.4041116830721795,15.0875
bandit,knowledge_gain,5,2.16,2.085031342216083,0.34086473442569476,0.41332976276621464,18.8925
bandit,knowledge_gain,6,2.0375,1.9560139669130985,0.34924518287014805,0.41351802954830985,15.9175
bandit,knowledge_gain,7,1.99,1.9658705349685404,0.3304387039780022,0.41202314918072963,14.235
bandit,knowledge_gain,8,2.085,2.05487904889282,0.30919268988032916,0.36587366997314946,13.6575
bandit,knowledge_gain,9,2.0425,2.006311830676522,0.3154778208797411,0.39230149888586263,14.6875
bandit,knowledge_gain,10,2.0925,2.0518178204312973,0.3340439799251861,0.4028794184756904,15.5575
bandit,knowledge_gain,11,2.045,2.0068107923657705,0.3323276715707074,0.39915527516994315,15.57
bandit,knowledge_gain,12,2.1,2.079036577234086,0.29452999280690334,0.36318884339370555,10.985
bandit,knowledge_gain,13,2.0275,1.9994347900313647,0.33043081358912746,0.3823300781441361,14.28
bandit,knowledge_gain,14,2.205,2.1717989007036436,0.3333629108818929,0.3699034521949524,14.9225
bandit,knowledge_gain,15,1.9675,1.9636179758832384,0.3356313376008289,0.40968480330076135,14.815
bandit,knowledge_gain,16,2.0075,1.9234927817696386,0.33135281605440275,0.4312013065688054,14.84
bandit,knowledge_gain,17,2.045,1.9966987469232718,0.35115687882937263,0.41103130868371296,14.9625
bandit,knowledge_gain,18,2.035,1.9913628923064772,0.3322529435708684,0.3938983130548894,13.3125
bandit,knowledge_gain,19,1.905,1.8595400646574551,0.3225944645398705,0.4241910498187217,12.8825
bandit,knowledge_gain,20,2.07,2.0211454364097277,0.31775236603900725,0.3989476936848698,14.435
bandit,knowledge_gain,21,2.27,2.185613978943911,0.3137550961054393,0.3491081699334558,13.22
bandit,knowledge_gain,22,2.01,2.002467025290965,0.3163618465216862,0.40570458952246624,12.86
bandit,knowledge_gain,23,2.15,2.0995569484898287,0.31332150194078523,0.36815999978896313,14.5175
bandit,knowledge_gain,24,2.0225,2.031208693260563,0.312432441546957,0.3906069164853574,12.3075
