agent_type,reward_function,run_number,avg_final_state,avg_avg_state,avg_accuracy,avg_engagement,avg_questions_answered,avg_total_reward
pomdp,engagement,22,1.6975,1.8499808811638374,0.4932646217970758,0.6622898604051426,94.7875,0.6622898604051426
pomdp,engagement,23,1.6475,1.8018798738556976,0.4837909999481262,0.6422981495243522,89.35,0.6422981495243522
pomdp,engagement,24,1.6225,1.8180761928653033,0.45887064632787433,0.6323364917208752,80.8525,0.6323364917208752
pomdp,engagement,25,1.8475,1.943249207358158,0.48087342163992924,0.639269440626401,87.725,0.639269440626401
pomdp,engagement,26,1.7275,1.8541027636833587,0.48341125112113464,0.6254177549829386,80.5875,0.6254177549829386
pomdp,engagement,27,1.745,1.861675556834955,0.46897467575212376,0.6286607778841306,86.86,0.6286607778841306
pomdp,engagement,28,1.735,1.83858816600997,0.46788526983886336,0.6217314333389689,86.8325,0.6217314333389689
pomdp,engagement,29,1.765,1.8520379969744725,0.45713310978486077,0.6110253429041757,85.6725,0.6110253429041757
pomdp,engagement,30,1.69,1.7976012550868126,0.4936537235409913,0.6475984313733296,94.7725,0.6475984313733296
pomdp,engagement,31,1.7075,1.8479187021386383,0.4874804030403796,0.6307960294967407,84.4425,0.6307960294967407
pomdp,engagement,32,1.615,1.7642433003305036,0.4853831552097003,0.636874477015818,87.1075,0.636874477015818
pomdp,engagement,33,1.7525,1.8531245385877833,0.4813560088858563,0.6412402936583854,89.83,0.6412402936583854
pomdp,engagement,34,1.75,1.880669736406992,0.49055101468426243,0.6503073647973617,90.475,0.6503073647973617
pomdp,engagement,35,1.705,1.8135980136609284,0.49178554466476226,0.6535634555418778,89.2625,0.6535634555418778
pomdp,engagement,36,1.65,1.780943771734087,0.4569512360724477,0.624109299731659,73.595,0.624109299731659
pomdp,engagement,37,1.7875,1.909141226279707,0.48768966217443377,0.6341558796733487,82.955,0.6341558796733487
pomdp,engagement,38,1.7475,1.8704023669019336,0.473689795384133,0.6338024995752599,82.795,0.6338024995752599
pomdp,engagement,39,1.6725,1.8151716097585244,0.4804005566637307,0.6382288078599303,82.245,0.6382288078599303
pomdp,engagement,40,1.7,1.8132043316524664,0.4890722377673473,0.6523424453354107,98.295,0.6523424453354107
pomdp,engagement,41,1.7375,1.85279112863103,0.48377499016372644,0.6450313799627436,82.4875,0.6450313799627436
pomdp,engagement,42,1.68,1.8217462994202174,0.461343014420772,0.6044425496161421,78.52,0.6044425496161421
pomdp,engagement,43,1.6975,1.7711241342399648,0.4957057426768054,0.6625222219847451,93.4475,0.6625222219847451
pomdp,engagement,44,1.7,1.8271007355318645,0.48706794063856534,0.6638439825845552,89.6475,0.6638439825845552
pomdp,engagement,45,1.73,1.8179833173414335,0.49057703743522796,0.646094477795688,83.8825,0.646094477795688
pomdp,engagement,46,1.715,1.8646277261232171,0.4681638154606589,0.6294849894075635,82.41,0.6294849894075635
pomdp,engagement,47,1.675,1.8570133781019065,0.4750607690126424,0.6335007460440077,88.27,0.6335007460440077
pomdp,engagement,48,1.7175,1.8366803469227926,0.47887016532030835,0.6319407249301752,84.4775,0.6319407249301752
pomdp,engagement,49,1.615,1.7481220343918165,0.47661441225237583,0.6379348713122228,86.7275,0.6379348713122228
pomdp,engagement,50,1.7075,1.8112223498061366,0.4908860180806886,0.6538463616705521,88.88,0.6538463616705521
pomdp,composite,1,1.9525,2.0463633148854465,0.5053897153073232,0.5396097601007851,67.77,0.5156557287453617
pomdp,composite,2,1.9225,2.0710785698393743,0.5204142203060471,0.5417449237577391,69.5325,0.5268134313415547
pomdp,composite,3,1.8225,1.9526994734211027,0.5086446087294181,0.5290117588482022,69.0775,0.5147547537650532
pomdp,composite,4,1.885,1.9713933476438825,0.5168640274198765,0.5586999237522885,75.7525,0.5294147963196001
pomdp,composite,5,1.99,2.115919664601742,0.520678534294726,0.5848184023211686,75.2425,0.5399204947026587
pomdp,composite,6,1.82,1.9246458079367073,0.5100213908365504,0.5532110208880758,77.4675,0.522978279852008
pomdp,composite,7,1.94,2.0077607334443957,0.5211472633913337,0.574468948174121,75.2425,0.5371437688261699
pomdp,composite,8,1.7825,1.920359680991682,0.5041199657387387,0.5319852209824201,69.795,0.5124795423118432
pomdp,composite,9,1.905,2.032787013633039,0.520691721548557,0.5383270587220146,67.98,0.5259823227005943
pomdp,composite,10,1.84,1.9611781981850394,0.512167362083094,0.5634455548357943,75.2275,0.5275508199089041
pomdp,composite,11,1.885,2.0131821094572304,0.5273326506266018,0.5532637119903409,79.785,0.5351119690357234
pomdp,composite,12,1.955,2.026217906814012,0.5326341333547547,0.5229977646437629,70.1,0.5297432227414572
pomdp,composite,13,1.8725,1.9931056237779763,0.5191494199123312,0.5562949477695077,77.42,0.5302930782694841
pomdp,composite,14,1.9825,2.06779965093276,0.5069326396662474,0.546396162755242,69.24,0.5187716965929458
pomdp,composite,15,1.8375,1.9151989962277949,0.5156259625086292,0.5528627798445409,75.7275,0.5267970077094027
pomdp,composite,16,1.855,2.008461819308729,0.5289110508798258,0.5437131046837337,76.51,0.5333516670209981
pomdp,composite,17,1.8725,2.0512694290578977,0.5298352462545763,0.5504342835330912,79.755,0.5360149574381308
pomdp,composite,18,1.8575,1.94984024473077,0.5187806098393772,0.5501138000710999,75.2875,0.528180566908894
pomdp,composite,19,1.935,2.0513342449238525,0.500670111271684,0.5461338241442495,71.82,0.5143092251334536
pomdp,composite,20,1.86,1.9967076269945023,0.5309238324053059,0.564348958511102,77.06,0.5409513702370446
pomdp,composite,21,1.895,2.015223351370835,0.5278846513865186,0.5350681199526518,74.42,0.5300396919563586
pomdp,composite,22,1.815,1.955836348271996,0.532431126514206,0.5229404044389581,75.42,0.5295839098916315
pomdp,composite,23,1.955,2.118740491208329,0.5101988089728166,0.5402445059241364,62.96,0.5192125180582124
pomdp,composite,24,1.96,2.06724937269407,0.5280740636304084,0.5488114600939933,73.7175,0.5342952825694839
pomdp,composite,25,1.87,1.9761399750841262,0.5253113820527424,0.5481339890952822,73.015,0.5321581641655044
pomdp,composite,26,1.95,2.062986206623879,0.5182556914252807,0.5480090978184065,70.9,0.5271817133432184
pomdp,composite,27,1.875,1.9672862984068376,0.5110524128373486,0.5558171947896683,72.58,0.5244818474230445
pomdp,composite,28,1.8225,2.0049092801847737,0.5199814805426977,0.5527278452288487,80.5825,0.5298053899485429
pomdp,composite,29,2.02,2.1028079427682336,0.5180006441926442,0.5638606000409258,77.195,0.5317586309471287
pomdp,composite,30,1.935,2.067971544715631,0.5430169969549873,0.5198469529335376,71.2375,0.5360659837485524
pomdp,composite,31,1.855,1.9672204779420448,0.5225349595459273,0.5212661010296596,73.795,0.5221543019910471
